и,and
противоположный,opposite; contrary
радиостанция,radio station
разделение,division
размышлять/размыслить (о +pr),to ponder (on)
рай,paradise
расширять/расширить (+a),"to broaden, expand"
редкость (f),rarity
родня,relatives
ручей,"brook, stream"
сводиться/свестись (к +d),to reduce (to)
серебро,silver
сказываться/сказаться,to have an effect (на +pr) on; proclaim oneself
слесарь (m),"metal worker, fitter"
сменять/сменить (+a),"to replace, change"
сниться/при-,"to appear in a dream, see in a dream"
ссылка,internal exile (inside Russia)
соседство,vicinity
сосна,pine-tree
стесняться/по-,to be shy
судебный,"judicial, legal"
торжество,celebration; triumph
угнетение,oppression
уговаривать/уговорить (+a),"to persuade, urge"
узор,pattern
украинский,Ukrainian
уникальный,unique
уставляться/уставиться (в +a),"to fix one’s gaze (on), stare (at)"
устойчивый,stable
численность (f),"total number, quantity"
шарик,(small) ball
эксперимент,experiment
энергетический,"power, energy (adj)"
этакий,such (= такой) (coll)
японец,Japanese man
весить (i),to weigh (intrans)
жидкий,"liquid; thin, feeble"
матушка,mother (coll)
парадный,ceremonial; main
построение,construction
разбойник,brigand
ребятишки,"children, kids (coll)"
статуя,statue
тракторный,tractor (adj)
азиатский,Asian (adj)
ансамбль (m),ensemble
близнец,twin
владение,"possession, ownership"
земледeлец,"farmer, peasant farmer"
бровь (f),eyebrow; brow
правящий,ruling (adj)
расположение,arrangement; location; liking; inclination
рельс,rail
реформа,reform
речной,river (adj)
руль (m),steering-wheel; helm
степной,steppe (adj)
сынок,sonny (form of address)
теплота,warmth
трение,friction
тундра,tundra (treeless northern wastes)
установление,establishment
языковой,linguistic
яркость (f),brightness
амбар,barn; storehouse
аспирант,postgraduate (noun)
бабий,women’s (coll; sexist)
бесплодный,barren; fruitless
ворчать (i),to grumble; growl
диаметр,diameter
дореволюционный,pre-revolutionary
каторга,"hard labour, penal servitude"
компас,compass
лечение,"healing, treatment"
мерзавец,scoundrel (coll)
набережная (f) (adj),embankment; sea-front
накопление,accumulation
оглядывать/оглянуть (+a),"to inspect, look over"
парадокс,paradox
видать/по- (+a),to see (coll)
приподнимать/приподнять (+a),to raise slightly
разорение,"ruin, devastation"
исполком,executive committee
баланс,balance (econ)
стеклянный,glass (adj)
старшина (m),sergeant-major; leader
полковник,colonel
глина,clay
производительный,productive
гимназия,"grammar school, high school"
пуговица,button
комбинат,"combine, industrial complex"
сундук,"trunk, chest"
мельница,mill
тракторист,tractor driver
букет,bouquet
окоп,trench
сезон,season
паровоз,"locomotive, steam engine"
юбилейный,anniversary (adj)
ось (f),axis; axle
арестованный,"arrested, person arrested"
валенок,felt boot
животноводство,stock-raising
стрельба,shooting
выработка,working-out; production
гонка,race
заводской,factory (adj)
прислуга,servants
разряд,discharge; category
вдова,widow
последовательный,consistent; successive
психологический,psychological
пуд,pood (16.38 kg)
цилиндр,cylinder; top hat
француз,Frenchman
лейтенант,lieutenant
агрегат,"unit, assembly"
калитка,"gate, garden gate"
отверстие,"opening, aperture"
пленум,plenary session
комплексный,"complex, consisting of several parts"
машинист,engine-driver
мамаша,mother (coll)
лунный,lunar
приказание,"order, command"
благосостояние,"well-being, prosperity"
комплекс,complex
рота,company (of soldiers)
областной,"oblast (adj), provincial"
офицерский,officer’s
новогодний,new year (adj)
ведомство,department (of government)
композитор,composer
конструктор,"constructor, designer"
пианино (indecl),(upright) piano
